shell,r,rho,P,m,T,luminosity,epsilon,kappa
1,0.00659 ,1.46E+02,2.26E+17,2.98E-05,1.53E+07,9.60E+29,1.77E+01,1.19E+00
101,0.14849 ,5.64E+01,8.13E+16,1.85E-01,1.12E+07,2.92E+33,3.77E+00,1.81E+00
201,0.32349 ,9.58E+00,8.09E+15,6.64E-01,6.30E+06,3.85E+33,2.44E-02,3.59E+00
301,0.48894 ,1.51E+00,8.06E+14,8.90E-01,4.01E+06,3.85E+33,2.69E-04,7.06E+00
401,0.67153 ,2.41E-01,8.04E+13,9.71E-01,2.50E+06,3.85E+33,0.00E+00,1.44E+01
501,0.83411 ,5.46E-02,8.10E+12,9.95E-01,1.11E+06,3.85E+33,0.00E+00,4.95E+01
601,0.92437 ,1.38E-02,8.09E+11,9.99E-01,4.43E+05,3.85E+33,0.00E+00,2.82E+02
701,0.96562 ,3.43E-03,8.03E+10,1.00E+00,1.80E+05,3.85E+33,0.00E+00,4.44E+03
801,0.98366 ,7.98E-04,8.03E+09,1.00E+00,8.11E+04,3.85E+33,0.00E+00,3.70E+04
901,0.99173 ,1.76E-04,8.03E+08,1.00E+00,3.98E+04,3.85E+33,0.00E+00,8.46E+04
1001,0.99575 ,3.26E-05,8.03E+07,1.00E+00,2.46E+04,3.85E+33,0.00E+00,3.66E+04
1101,0.99806 ,5.43E-06,8.03E+06,1.00E+00,1.72E+04,3.85E+33,0.00E+00,6.08E+03
1201,0.99946 ,9.21E-07,8.03E+05,1.00E+00,1.23E+04,3.85E+33,0.00E+00,6.65E+02
1301,1.00004 ,3.54E-07,1.21E+05,1.00E+00,5.40E+03,3.85E+33,0.00E+00,1.81E-01
1401,1.00025 ,1.18E-07,3.68E+04,1.00E+00,4.92E+03,3.85E+33,0.00E+00,4.67E-02
1501,1.00046 ,3.14E-08,9.69E+03,1.00E+00,4.87E+03,3.85E+33,0.00E+00,1.68E-02
1601,1.00069 ,7.67E-09,2.36E+03,1.00E+00,4.86E+03,3.85E+33,0.00E+00,6.46E-03
1701,1.00093 ,1.69E-09,5.21E+02,1.00E+00,4.86E+03,3.85E+33,0.00E+00,2.73E-03
1801,1.00121 ,3.11E-10,9.72E+01,1.00E+00,4.86E+03,3.85E+33,0.00E+00,1.22E-03
